time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2008-11-22T07:41:22.000Z,51.563,6.859,1,3.3,ml,33,259.3,,,us,usp000gp6p,2014-11-07T01:37:46.610Z,"Germany",earthquake,,,,,reviewed,grf,ldg
2008-11-12T20:56:56.500Z,51.461,6.619,1,3.4,ml,29,257.1,,,us,usp000gnjb,2014-11-07T01:37:43.728Z,"Germany",earthquake,,,,,reviewed,grf,ldg
2008-10-31T03:17:40.320Z,50.372,12.389,10,2.9,ml,17,238,,0.66,us,usp000gmfx,2014-11-07T01:37:34.566Z,"Germany-Czech Republic border region",earthquake,,,,,reviewed,us,ldg
2008-10-30T08:19:03.500Z,50.216,12.444,8.9,2.7,ml,11,234,,,us,usp000gmdw,2014-11-07T01:37:34.368Z,"Czech Republic",earthquake,,,,,reviewed,grf,grf
2008-10-30T05:54:28.600Z,53.378,6.602,3,3.3,ml,26,105.5,,,us,usp000gmdm,2014-11-07T01:37:34.338Z,"The Netherlands",earthquake,,,,,reviewed,ldg,ldg
2008-10-29T02:10:03.700Z,50.231,12.408,10,2.8,ml,5,341.6,,,us,usp000gm91,2014-11-07T01:37:33.765Z,"Czech Republic",earthquake,,,,,reviewed,ldg,ldg
2008-10-28T14:51:52.200Z,50.229,12.463,9.4,3.3,ml,10,242.7,,,us,usp000gm7a,2014-11-07T01:37:33.101Z,"Czech Republic",earthquake,,,,,reviewed,grf,ldg
2008-10-28T10:06:59.700Z,50.204,12.465,10.1,2.8,ml,12,237.5,,,us,usp000gm6w,2014-11-07T01:37:33.065Z,"Czech Republic",earthquake,,,,,reviewed,grf,grf
2008-10-28T08:30:11.000Z,50.212,12.455,10,4.2,ml,60,68.7,,,us,usp000gm6r,2014-11-07T01:37:33.046Z,"Czech Republic",earthquake,,,,,reviewed,grf,ldg
2008-10-28T08:27:35.000Z,50.204,12.466,8.4,3.3,ml,11,241.8,,,us,usp000gm6q,2014-11-07T01:37:33.044Z,"Czech Republic",earthquake,,,,,reviewed,grf,str
2008-10-21T03:02:43.200Z,50.218,12.454,10,2.6,ml,6,211.8,,,us,usp000gkqc,2014-11-07T01:37:30.920Z,"Czech Republic",earthquake,,,,,reviewed,grf,gfu
2008-10-21T02:14:02.300Z,50.218,12.452,10,3.5,ml,19,108.1,,,us,usp000gkq9,2014-11-07T01:37:30.912Z,"Czech Republic",earthquake,,,,,reviewed,grf,gfu
2008-10-21T01:40:17.500Z,50.215,12.457,10,2.8,ml,4,211.7,,,us,usp000gkq4,2014-11-07T01:37:30.896Z,"Czech Republic",earthquake,,,,,reviewed,grf,gfu
2008-10-21T01:10:54.800Z,50.22,12.443,10,3,ml,13,205.5,,,us,usp000gkq0,2014-11-07T01:37:30.878Z,"Czech Republic",earthquake,,,,,reviewed,grf,gfu
2008-10-21T00:55:31.900Z,50.225,12.441,10,2.8,ml,12,169.6,,,us,usp000gkpz,2014-11-07T01:37:30.876Z,"Czech Republic",earthquake,,,,,reviewed,grf,ldg
2008-10-20T15:38:16.500Z,51.453,6.575,7.6,2.9,ml,12,289.2,,0.37,us,usp000gkp0,2014-11-07T01:37:30.780Z,"Germany",earthquake,,24.8,,,reviewed,us,ldg
2008-10-16T10:48:22.900Z,50.2,12.49,0,3.2,ml,17,234.3,,,us,usp000gkch,2014-11-07T01:37:29.714Z,"Czech Republic",earthquake,,,,,reviewed,gfu,gfu
2008-10-15T03:40:49.100Z,50.19,12.51,0,2.9,ml,8,210.8,,,us,usp000gk9n,2014-11-07T01:37:29.315Z,"Czech Republic",earthquake,,,,,reviewed,gfu,gfu
2008-10-15T03:38:30.400Z,50.2,12.49,0,2.6,ml,6,261.8,,,us,usp000gk9m,2014-11-07T01:37:29.313Z,"Czech Republic",earthquake,,,,,reviewed,gfu,ldg
2008-10-14T19:00:32.500Z,50.193,12.441,6.8,4.1,ml,80,32.9,,,us,usp000gk8r,2014-11-07T01:37:29.215Z,"Czech Republic",earthquake,,,,,reviewed,grf,gfu
2008-10-14T05:49:03.700Z,50.205,12.472,11.1,3.1,ml,13,169.4,,,us,usp000gk7v,2014-11-07T01:37:28.867Z,"Czech Republic",earthquake,,,,,reviewed,grf,ldg
